Customer_ID,Customer_Name,Customer_Type,City,Email,Phone
C0001,Customer 1,Hotel,Pune,customer1@example.com,9808300407
C0002,Customer 2,Food Plant,Hyderabad,customer2@example.com,9736705687
C0003,Customer 3,Food Plant,Delhi,customer3@example.com,9558317195
C0004,Customer 4,Restaurant,Delhi,customer4@example.com,9886402885
C0005,Customer 5,Restaurant,Mumbai,customer5@example.com,9128267915
C0006,Customer 6,Manufacturing,Bengaluru,customer6@example.com,9921057196
C0007,Customer 7,Hotel,Hyderabad,customer7@example.com,9503632924
C0008,Customer 8,Food Plant,Mumbai,customer8@example.com,9733391953
C0009,Customer 9,Hospital,Mumbai,customer9@example.com,9268764478
C0010,Customer 10,Hotel,Mumbai,customer10@example.com,9799870409
C0011,Customer 11,Restaurant,Delhi,,9245921857
C0012,Customer 12,Manufacturing,Chennai,customer12@example.com,9314450691
C0013,Customer 13,Food Plant,Delhi,customer13@example.com,9837382361
C0014,Customer 14,Food Plant,Chennai,customer14@example.com,9383926093
C0015,Customer 15,Food Plant,Delhi,customer15@example.com,9494141645
C0016,Customer 16,Food Plant,Pune,customer16@example.com,9041665319
C0017,Customer 17,Restaurant,Delhi,customer17@example.com,9115856724
C0018,Customer 18,Hotel,Pune,customer18@example.com,9055947320
C0019,Customer 19,Manufacturing,Bengaluru,customer19@example.com,9072059146
C0020,Customer 20,Restaurant,Hyderabad,customer20@example.com,9868520525
C0021,Customer 21,Restaurant,Bengaluru,customer21@example.com,9841993209
C0022,Customer 22,Hospital,Pune,customer22@example.com,9821886307
C0023,Customer 23,Hotel,Mumbai,customer23@example.com,9055567916
C0024,Customer 24,Manufacturing,Chennai,customer24@example.com,9077644901
C0025,Customer 25,Food Plant,Mumbai,customer25@example.com,9280611435
C0026,Customer 26,Food Plant,Mumbai,customer26@example.com,
C0027,Customer 27,Restaurant,Delhi,customer27@example.com,9487560099
C0028,Customer 28,Manufacturing,Pune,customer28@example.com,9172994444
C0029,Customer 29,Restaurant,Delhi,customer29@example.com,9730778017
C0030,Customer 30,Restaurant,Delhi,customer30@example.com,9313893369
C0031,Customer 31,Restaurant,Hyderabad,customer31@example.com,9066540820
C0032,Customer 32,Hospital,Pune,customer32@example.com,9742692565
C0033,Customer 33,Hotel,Pune,customer33@example.com,9902788397
C0034,Customer 34,Restaurant,Mumbai,customer34@example.com,9014682843
C0035,Customer 35,Manufacturing,Hyderabad,customer35@example.com,9436673043
C0036,Customer 36,Hotel,Pune,customer36@example.com,9827173423
C0037,Customer 37,Manufacturing,Bengaluru,customer37@example.com,9706164813
C0038,Customer 38,Manufacturing,Pune,customer38@example.com,9856548022
C0039,Customer 39,Hospital,Hyderabad,customer39@example.com,9415210033
C0040,Customer 40,Food Plant,Pune,customer40@example.com,9372261572
C0041,Customer 41,Hotel,PUNE,customer41@example.com,9709175943
C0042,Customer 42,Food Plant,Pune,customer42@example.com,9153612898
C0043,Customer 43,Food Plant,Mumbai,customer43@example.com,9239421316
C0044,Customer 44,Hospital,Mumbai,customer44@example.com,9600840407
C0045,Customer 45,Hotel,Chennai,customer45@example.com,9668454617
C0046,Customer 46,Manufacturing,Pune,customer46@example.com,9119672555
C0047,Customer 47,Restaurant,Bengaluru,customer47@example.com,9508310197
C0048,Customer 48,Manufacturing,Hyderabad,customer48@example.com,9364919360
C0049,Customer 49,Food Plant,Hyderabad,customer49@example.com,9958429179
C0050,Customer 50,Food Plant,Chennai,customer50@example.com,9076610499
C0051,Customer 51,Food Plant,Chennai,customer51@example.com,9995464471
C0052,Customer 52,Hotel,Bengaluru,customer52@example.com,9449578695
C0053,Customer 53,Hospital,Chennai,customer53@example.com,9772104890
C0054,Customer 54,Restaurant,Mumbai,customer54@example.com,9424470619
C0055,Customer 55,Restaurant,Delhi,customer55@example.com,9310961509
C0056,Customer 56,Hotel,Hyderabad,customer56@example.com,9770599732
C0057,Customer 57,Restaurant,Chennai,customer57@example.com,9687665048
C0058,Customer 58,Hotel,Delhi,customer58@example.com,9144057981
C0059,Customer 59,Food Plant,Chennai,customer59@example.com,9705406364
C0060,Customer 60,Food Plant,Delhi,customer60@example.com,9753077384
C0061,Customer 61,Manufacturing,Hyderabad,customer61@example.com,9387841694
C0062,Customer 62,Food Plant,Pune,customer62@example.com,9925649529
C0063,Customer 63,Hospital,Bengaluru,customer63@example.com,9640888633
C0064,Customer 64,Manufacturing,Mumbai,customer64@example.com,9333628368
C0065,Customer 65,Restaurant,Delhi,customer65@example.com,9010727644
C0066,Customer 66,Hospital,Mumbai,customer66@example.com,9674960391
C0067,Customer 67,Manufacturing,Mumbai,customer67@example.com,9209057658
C0068,Customer 68,Hospital,Mumbai,customer68@example.com,9756526505
C0069,Customer 69,Hotel,Hyderabad,customer69@example.com,9525088302
C0070,Customer 70,Restaurant,Hyderabad,customer70@example.com,9466726588
C0071,Customer 71,Food Plant,Delhi,customer71@example.com,9163751303
C0072,Customer 72,Hotel,Bengaluru,customer72@example.com,9711505280
C0073,Customer 73,Restaurant,Mumbai,customer73@example.com,9165906867
C0074,Customer 74,Hotel,Pune,customer74@example.com,9417753717
C0075,Customer 75,Food Plant,Pune,customer75@example.com,9836304289
C0076,Customer 76,hospital,Bengaluru,customer76@example.com,9920365847
C0077,Customer 77,Hospital,Delhi,customer77@example.com,9989133001
C0078,Customer 78,Hospital,Hyderabad,customer78@example.com,9958011972
C0079,Customer 79,Restaurant,Delhi,customer79@example.com,9555969427
C0080,Customer 80,Food Plant,Pune,customer80@example.com,9200480540
C0081,Customer 81,Manufacturing,Pune,customer81@example.com,9839069729
C0082,Customer 82,Restaurant,Delhi,customer82@example.com,9801630522
C0083,Customer 83,Hotel,Pune,customer83@example.com,9990321663
C0084,Customer 84,Manufacturing,Pune,customer84@example.com,9650947894
C0085,Customer 85,Food Plant,Bengaluru,customer85@example.com,9141595888
C0086,Customer 86,Food Plant,Delhi,customer86@example.com,9502902201
C0087,Customer 87,Hotel,Chennai,customer87@example.com,9448245612
C0088,Customer 88,Hospital,Pune,customer88@example.com,9842947242
C0089,Customer 89,Food Plant,Delhi,customer89@example.com,9392572715
C0090,Customer 90,Manufacturing,Delhi,customer90@example.com,9328592707
C0091,,Restaurant,Chennai,customer91@example.com,9080049283
C0092,Customer 92,Manufacturing,Delhi,customer92@example.com,9835456547
C0093,Customer 93,Manufacturing,Mumbai,customer93@example.com,9755330171
C0094,Customer 94,Hospital,Delhi,customer94@example.com,9041227700
C0095,Customer 95,Manufacturing,Mumbai,customer95@example.com,9433779026
C0096,Customer 96,Hospital,Chennai,customer96@example.com,9479718134
C0097,Customer 97,Hospital,Hyderabad,customer97@example.com,9469326933
C0098,Customer 98,Food Plant,Chennai,customer98@example.com,9918931222
C0099,Customer 99,Food Plant,Hyderabad,customer99@example.com,9150672973
C0100,Customer 100,Hotel,Hyderabad,customer100@example.com,9306344495
C0101,Customer 101,Manufacturing,Hyderabad,customer101@example.com,9180926651
C0102,Customer 102,Hotel,Chennai,customer102@example.com,9244084573
C0103,Customer 103,Manufacturing,Chennai,customer103@example.com,9907103621
C0104,Customer 104,Hotel,Pune,customer104@example.com,9940722127
C0105,Customer 105,Food Plant,Chennai,customer105@example.com,9044649088
C0106,Customer 106,Food Plant,Hyderabad,customer106@example.com,9632091858
C0107,Customer 107,Food Plant,Mumbai,customer107@example.com,9232852284
C0108,Customer 108,Food Plant,Hyderabad,customer108@example.com,9192561071
C0109,Customer 109,Restaurant,Delhi,customer109@example.com,9292059329
C0110,Customer 110,Food Plant,Delhi,customer110@example.com,9194387021
C0111,Customer 111,Hospital,Delhi,customer111@example.com,9490197541
C0112,Customer 112,Food Plant,Bengaluru,customer112@example.com,9995610627
C0113,Customer 113,Restaurant,Chennai,customer113@example.com,9586445172
C0114,Customer 114,Restaurant,Bengaluru,customer114@example.com,9493289975
C0115,Customer 115,Restaurant,Chennai,customer115@example.com,9013907270
C0116,Customer 116,Restaurant,Hyderabad,customer116@example.com,9084115334
C0117,Customer 117,Hotel,Mumbai,customer117@example.com,9268872596
C0118,Customer 118,Hotel,Mumbai,customer118@example.com,9243667453
C0119,Customer 119,Hospital,Pune,customer119@example.com,9840579464
C0120,Customer 120,Hotel,Pune,customer120@example.com,9843588383
C0121,Customer 121,Restaurant,Bengaluru,customer121@example.com,9854121379
C0122,Customer 122,Food Plant,Bengaluru,customer122@example.com,9637588699
C0123,Customer 123,Food Plant,Pune,customer123@example.com,9556173155
C0124,Customer 124,Restaurant,Bengaluru,customer124@example.com,9649149049
C0125,Customer 125,Manufacturing,Hyderabad,customer125@example.com,9406806890
C0126,Customer 126,Restaurant,Mumbai,customer126@example.com,9670203254
C0127,Customer 127,Hotel,Bengaluru,customer127@example.com,9794442742
C0128,Customer 128,Food Plant,Bengaluru,customer128@example.com,9762903018
C0129,Customer 129,Restaurant,Hyderabad,customer129@example.com,9613830328
C0130,Customer 130,Food Plant,Bengaluru,customer130@example.com,9058108481
C0131,Customer 131,Restaurant,Chennai,customer131@example.com,9724949433
C0132,Customer 132,Restaurant,Mumbai,customer132@example.com,9366608384
C0133,Customer 133,Hotel,Bengaluru,customer133@example.com,9743667293
C0134,Customer 134,Restaurant,Bengaluru,customer134@example.com,9539527434
C0135,Customer 135,Food Plant,Mumbai,customer135@example.com,9881185779
C0136,Customer 136,Hospital,Chennai,customer136@example.com,9338456482
C0137,Customer 137,Food Plant,Mumbai,customer137@example.com,9931394220
C0138,Customer 138,Hotel,Mumbai,customer138@example.com,9844478872
C0139,Customer 139,Hospital,Chennai,customer139@example.com,9531348033
C0140,Customer 140,Restaurant,Delhi,customer140@example.com,9768627588
C0141,Customer 141,Manufacturing,Chennai,customer141@example.com,9689157181
C0142,Customer 142,Hospital,Delhi,customer142@example.com,9852015515
C0143,Customer 143,Hospital,Delhi,customer143@example.com,9369867791
C0144,Customer 144,Restaurant,Bengaluru,customer144@example.com,9504791482
C0145,Customer 145,Manufacturing,Chennai,customer145@example.com,9430864766
C0146,Customer 146,Manufacturing,Mumbai,customer146@example.com,9909552242
C0147,Customer 147,Hotel,Bengaluru,customer147@example.com,9304980590
C0148,Customer 148,Hospital,Hyderabad,customer148@example.com,9587123939
C0149,Customer 149,Manufacturing,Delhi,customer149@example.com,9120166143
C0150,Customer 150,Hotel,Delhi,customer150@example.com,9850274297
C0151,Customer 151,Manufacturing,Bengaluru,customer151@example.com,9384217953
C0152,Customer 152,Hospital,Hyderabad,customer152@example.com,9340590795
C0153,Customer 153,Manufacturing,Mumbai,customer153@example.com,9582917214
C0154,Customer 154,Hospital,Chennai,customer154@example.com,9498816957
C0155,Customer 155,Restaurant,Hyderabad,customer155@example.com,9847976311
